epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4201.5,0.94212,0.34988,0.01724,1,0.99653,0.995,0.80065,0.73707,0.18741,0.02049,0.0007724,0.0007724,0.0007724
64,4266.75,0.98075,0.37535,0.01806,0.99038,0.99915,0.99497,0.7671,0.87985,0.22321,0.02472,0.0007526,0.0007526,0.0007526
65,4330.5,0.95572,0.3703,0.01723,0.99677,0.99994,0.995,0.79903,0.76456,0.19356,0.02216,0.0007328,0.0007328,0.0007328
66,4393.8,0.94858,0.35655,0.01681,0.99258,1,0.99493,0.77816,0.82233,0.21122,0.02373,0.000713,0.000713,0.000713
67,4458.9,0.92874,0.36391,0.01732,0.98405,0.99862,0.99471,0.7897,0.79648,0.21531,0.02232,0.0006932,0.0006932,0.0006932
68,4522.38,0.9183,0.34356,0.01542,0.99677,1,0.995,0.80917,0.73028,0.19079,0.02005,0.0006734,0.0006734,0.0006734
69,4585.99,0.92849,0.33247,0.01663,0.99574,1,0.99497,0.80433,0.73232,0.18759,0.02003,0.0006536,0.0006536,0.0006536
70,4650.39,0.92585,0.36371,0.01608,0.99279,0.99353,0.9949,0.80826,0.70686,0.19251,0.01972,0.0006338,0.0006338,0.0006338
71,4714.22,0.87977,0.33804,0.01574,0.99357,0.99987,0.99493,0.79801,0.73214,0.19368,0.02016,0.000614,0.000614,0.000614
72,4777.61,0.91501,0.35174,0.01671,0.99677,0.99735,0.995,0.80117,0.75569,0.19436,0.02121,0.0005942,0.0005942,0.0005942
73,4842.27,0.89426,0.33527,0.01573,0.99675,0.9935,0.99494,0.80697,0.75028,0.19629,0.02127,0.0005744,0.0005744,0.0005744
74,4906.59,0.9203,0.33529,0.01619,0.99354,0.99557,0.99493,0.80516,0.72916,0.19471,0.02035,0.0005546,0.0005546,0.0005546
75,4970.11,0.89841,0.34297,0.01657,0.9966,1,0.995,0.79968,0.7246,0.18786,0.01997,0.0005348,0.0005348,0.0005348
76,5033.19,0.89658,0.34654,0.01599,0.98591,1,0.99484,0.80484,0.77053,0.20639,0.02243,0.000515,0.000515,0.000515
77,5098.06,0.86591,0.32812,0.01503,0.99289,1,0.995,0.81497,0.71843,0.18971,0.01984,0.0004952,0.0004952,0.0004952
78,5162.39,0.8968,0.33573,0.01617,0.99645,1,0.99497,0.80611,0.71814,0.18316,0.02016,0.0004754,0.0004754,0.0004754
79,5226.24,0.84396,0.33375,0.01513,0.99907,1,0.995,0.82055,0.68481,0.17789,0.01867,0.0004556,0.0004556,0.0004556
80,5290.68,0.87421,0.3343,0.01549,0.99677,0.99961,0.99494,0.80932,0.73244,0.19413,0.02059,0.0004358,0.0004358,0.0004358
81,5355.21,0.86804,0.32295,0.01566,0.99355,0.99624,0.9949,0.81992,0.67523,0.18668,0.0187,0.000416,0.000416,0.000416
82,5418.89,0.84462,0.31368,0.01511,1,0.99659,0.995,0.80148,0.75997,0.19469,0.02149,0.0003962,0.0003962,0.0003962
83,5482.76,0.87442,0.3188,0.01482,1,0.99535,0.995,0.81835,0.67633,0.17674,0.0186,0.0003764,0.0003764,0.0003764
84,5547.38,0.82775,0.31216,0.01464,0.99977,1,0.995,0.8074,0.72611,0.18195,0.02032,0.0003566,0.0003566,0.0003566
85,5611.28,0.84456,0.32662,0.01494,1,0.99631,0.995,0.82401,0.6659,0.17344,0.0183,0.0003368,0.0003368,0.0003368
86,5675.18,0.84491,0.31475,0.01493,0.99677,0.99929,0.995,0.81579,0.70253,0.1848,0.01966,0.000317,0.000317,0.000317
